Date,Harris_avg,Trump_avg,Parameters
2024-07-02,42.71822675234451,47.230664967870815,0.35-0.5-1.5
2024-07-03,42.53867006425838,45.67299872590311,0.35-0.5-1.5
2024-07-04,42.26933503212919,43.33649936295156,0.35-0.5-1.5
2024-07-05,42.83598733068869,43.31836156923145,0.35-0.5-1.5
2024-07-06,43.82063329459253,44.45940456012706,0.35-0.5-1.5
2024-07-07,45.01427609116855,46.18003794333054,0.35-0.5-1.5
2024-07-08,45.834443252535834,47.14155577629964,0.35-0.5-1.5
2024-07-09,45.502925396934614,47.5100879282199,0.35-0.5-1.5
2024-07-10,45.75146269846731,47.75504396410995,0.35-0.5-1.5
2024-07-11,45.20906468256699,47.37752198205497,0.35-0.5-1.5
2024-07-12,44.27119900795016,46.688760991027486,0.35-0.5-1.5
2024-07-13,43.13559950397508,45.84438049551375,0.35-0.5-1.5
2024-07-14,45.567799751987536,48.92219024775687,0.35-0.5-1.5
2024-07-15,44.2087563871502,46.24457127792195,0.35-0.5-1.5
2024-07-16,44.442739753004346,46.85754039001997,0.35-0.5-1.5
2024-07-17,45.47323648420423,49.11580354308447,0.35-0.5-1.5
2024-07-18,45.878561321707764,50.040571283854305,0.35-0.5-1.5
2024-07-19,45.97130021236313,50.298591318476824,0.35-0.5-1.5
2024-07-20,45.90774612959441,50.223237500025675,0.35-0.5-1.5
2024-07-21,45.144882757135875,49.22959936533549,0.35-0.5-1.5
2024-07-22,44.69049282533661,46.73751188802278,0.35-0.5-1.5
2024-07-23,45.87226727948581,47.01968729874023,0.35-0.5-1.5
2024-07-24,46.41666772659458,46.635444213488,0.35-0.5-1.5
2024-07-25,46.819930472529265,46.12352041135999,0.35-0.5-1.5
2024-07-26,47.065274320126804,46.29713760281955,0.35-0.5-1.5
2024-07-27,47.353896478517996,46.99319815942333,0.35-0.5-1.5
2024-07-28,47.984237124060066,46.47432834549706,0.35-0.5-1.5
2024-07-29,47.60609549728708,46.04415264037705,0.35-0.5-1.5
2024-07-30,47.415598126573045,45.32835150915328,0.35-0.5-1.5
2024-07-31,47.67255603713306,45.90306822971326,0.35-0.5-1.5
2024-08-01,47.48886080866075,45.69708791707604,0.35-0.5-1.5
2024-08-02,47.8892863557335,46.358624449156494,0.35-0.5-1.5
2024-08-03,48.148438108846086,45.46249000201777,0.35-0.5-1.5
2024-08-04,48.25941361215663,45.256185027206705,0.35-0.5-1.5
2024-08-05,48.43607093828351,44.93445664580854,0.35-0.5-1.5
2024-08-06,48.82676787576129,44.77159452621403,0.35-0.5-1.5
2024-08-07,48.75008560186424,44.97770389309518,0.35-0.5-1.5
2024-08-08,48.949435173722634,45.01934969403409,0.35-0.5-1.5
2024-08-09,48.781665049836406,44.81662230999213,0.35-0.5-1.5
2024-08-10,48.691853275209645,45.16245040206588,0.35-0.5-1.5
